LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,Gold,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,,# HALF THIS FILE IS DERIVED AND IS YOURS TO OVERWRITE.
,,,,,,,,,,,,,,,,,,# AUTHORED BY YOU (BL-188, 2026-09-09): Assassination Instinct + the Perfect/Brutal Strike choice.
,,,,,,,,,,,,,,,,,,# DERIVED (2026-09-10) so the melee rogue is MEASURABLE above 76 — your words: "even with
,,,,,,,,,,,,,,,,,,# lower power skills". Every block marked (DERIVED) is a continuation of the 3rd tier and
,,,,,,,,,,,,,,,,,,# NOT your authoring. The one anchor that IS yours is the damage: Killing Stab lands on
,,,,,,,,,,,,,,,,,,# 11000 at 85 and 15000 at 90 — the top of the two bands you gave on 2026-09-06 — and the
,,,,,,,,,,,,,,,,,,# other families keep the ratio they already have to it (Heavy x0.75, Venom x0.50, Burst
,,,,,,,,,,,,,,,,,,# x0.20/stack). Armor Mastery is the ARCHER's own 4th-tier ladder, verbatim, because both
,,,,,,,,,,,,,,,,,,# wear light and yours is already authored in `archer 4th.csv`.
,,,,,,,,,,,,,,,,,,# This file still has NO Check.Specs line — nothing here is verified until you finish it.
,,,,,,,,,,,,,,,,,,----------------------------BL-188: the top of the blow ladder (AUTHORED)----------------------------
76,Assassination Instinct,assassination_instinct,passive,,,0,0,self/single,0,0,0,"blow rate x1.05;",0,6.5kk,1kk,[]
80,Perfect Strike,perfect_strike,physical buff,duals,,0,0,self/single,0,300,300,"blow rate x1.4; does not stack with Brutal Strike;",200,150kk,10kk,[brutal_strike]
80,Brutal Strike,brutal_strike,physical buff,duals,,0,0,self/single,0,300,300,"crit dmg +30%; does not stack with Perfect Strike;",200,150kk,10kk,[perfect_strike]
,,,,,,,,,,,,,,,,,,----------------------------Armor Mastery (DERIVED)----------------------------
76,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +15; crit rate resist + 35%; speed +12; mpReg +2.5; hpReg +6.0; p.def +72;",0,6.5kk,1kk,[]
77,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +15; crit rate resist + 35%; speed +12; mpReg +2.5; hpReg +6.0; p.def +74;",0,11kk,1kk,[]
78,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +16; crit rate resist + 35%; speed +12; mpReg +2.5; hpReg +6.0; p.def +76;",0,16kk,1kk,[]
79,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +16; crit rate resist + 35%; speed +13; mpReg +2.5; hpReg +6.0; p.def +78;",0,80kk,1kk,[]
80,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +17; crit rate resist + 35%; speed +13; mpReg +2.5; hpReg +6.0; p.def +80;",0,0,5kk,[]
81,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +17; crit rate resist + 35%; speed +13; mpReg +2.5; hpReg +6.0; p.def +82;",0,0,7.5kk,[]
82,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +18; crit rate resist + 35%; speed +14; mpReg +2.5; hpReg +6.0; p.def +84;",0,0,10kk,[]
83,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +18; crit rate resist + 35%; speed +14; mpReg +2.5; hpReg +6.0; p.def +86;",0,0,15kk,[]
84,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +18; crit rate resist + 35%; speed +14; mpReg +2.5; hpReg +6.0; p.def +88;",0,0,30kk,[]
85,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +90;",0,0,50kk,[]
86,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +92;",0,0,75kk,[]
87,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +94;",0,0,100kk,[]
88,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +96;",0,0,100kk,[]
89,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +98;",0,0,100kk,[]
90,Armor Mastery,rogue_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +100;",0,0,100kk,[]
,,,,,,,,,,,,,,,,,,----------------------------Dual Mastery (DERIVED)----------------------------
76,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +85; p.atk x1.085 and crit dmg +1040 and acc +3 and crit rate x1.5 and AS x1.10; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,6.5kk,1kk,[rogue_weapon_mastery]
77,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +90; p.atk x1.085 and crit dmg +1060 and acc +3 and crit rate x1.5 and AS x1.10; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,11kk,1kk,[rogue_weapon_mastery]
78,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +95; p.atk x1.085 and crit dmg +1080 and acc +3 and crit rate x1.5 and AS x1.11; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,16kk,1kk,[rogue_weapon_mastery]
79,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +100; p.atk x1.085 and crit dmg +1100 and acc +3 and crit rate x1.5 and AS x1.11; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,80kk,1kk,[rogue_weapon_mastery]
80,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +105; p.atk x1.085 and crit dmg +1120 and acc +3 and crit rate x1.5 and AS x1.12; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,5kk,[rogue_weapon_mastery]
81,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +110; p.atk x1.085 and crit dmg +1140 and acc +3 and crit rate x1.5 and AS x1.12; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,7.5kk,[rogue_weapon_mastery]
82,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +115; p.atk x1.085 and crit dmg +1160 and acc +3 and crit rate x1.5 and AS x1.13; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,10kk,[rogue_weapon_mastery]
83,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +120; p.atk x1.085 and crit dmg +1180 and acc +3 and crit rate x1.5 and AS x1.13; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,15kk,[rogue_weapon_mastery]
84,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +125; p.atk x1.085 and crit dmg +1200 and acc +3 and crit rate x1.5 and AS x1.13; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,30kk,[rogue_weapon_mastery]
85,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +130; p.atk x1.085 and crit dmg +1220 and acc +3 and crit rate x1.5 and AS x1.14; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,50kk,[rogue_weapon_mastery]
86,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +134; p.atk x1.085 and crit dmg +1240 and acc +3 and crit rate x1.5 and AS x1.14; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,75kk,[rogue_weapon_mastery]
87,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +138; p.atk x1.085 and crit dmg +1260 and acc +3 and crit rate x1.5 and AS x1.15; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,100kk,[rogue_weapon_mastery]
88,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +142; p.atk x1.085 and crit dmg +1275 and acc +3 and crit rate x1.5 and AS x1.15; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,100kk,[rogue_weapon_mastery]
89,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +146; p.atk x1.085 and crit dmg +1290 and acc +3 and crit rate x1.5 and AS x1.15; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,100kk,[rogue_weapon_mastery]
90,Dual Mastery,dual_weapon_mastery,passive,duals,,0,0,self/single,0,8,5,"Dual: p.Atk +150; p.atk x1.085 and crit dmg +1300 and acc +3 and crit rate x1.5 and AS x1.15; With 3% chance to decrease skill mp consumption with 60% and increase crit.dmg with 10% for 5 sec",0,0,100kk,[rogue_weapon_mastery]
,,,,,,,,,,,,,,,,,,----------------------------Killing Stab (DERIVED)----------------------------
76,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 6900 - only when skill does critical - otherwise 69 - require duals;",80,6.5kk,1kk,[precise_shot],Human;Elf
77,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 7350 - only when skill does critical - otherwise 74 - require duals;",82,11kk,1kk,[precise_shot],Human;Elf
78,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 7800 - only when skill does critical - otherwise 78 - require duals;",84,16kk,1kk,[precise_shot],Human;Elf
79,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 8250 - only when skill does critical - otherwise 83 - require duals;",86,80kk,1kk,[precise_shot],Human;Elf
80,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 8700 - only when skill does critical - otherwise 87 - require duals;",88,0,5kk,[precise_shot],Human;Elf
81,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 9150 - only when skill does critical - otherwise 92 - require duals;",90,0,7.5kk,[precise_shot],Human;Elf
82,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 9600 - only when skill does critical - otherwise 96 - require duals;",92,0,10kk,[precise_shot],Human;Elf
83,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 10050 - only when skill does critical - otherwise 101 - require duals;",95,0,15kk,[precise_shot],Human;Elf
84,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 10500 - only when skill does critical - otherwise 105 - require duals;",98,0,30kk,[precise_shot],Human;Elf
85,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 11000 - only when skill does critical - otherwise 110 - require duals;",100,0,50kk,[precise_shot],Human;Elf
86,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 11800 - only when skill does critical - otherwise 118 - require duals;",102,0,75kk,[precise_shot],Human;Elf
87,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 12600 - only when skill does critical - otherwise 126 - require duals;",104,0,100kk,[precise_shot],Human;Elf
88,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 13400 - only when skill does critical - otherwise 134 - require duals;",106,0,100kk,[precise_shot],Human;Elf
89,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 14200 - only when skill does critical - otherwise 142 - require duals;",108,0,100kk,[precise_shot],Human;Elf
90,Killing Stab,killing_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 15000 - only when skill does critical - otherwise 150 - require duals;",110,0,100kk,[precise_shot],Human;Elf
,,,,,,,,,,,,,,,,,,----------------------------Swift Stab (DERIVED)----------------------------
76,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 6900 - only when skill does critical - otherwise 69 - require duals; leaves +5 speed and +15% AS for 5s;",80,6.5kk,1kk,[precise_shot],Elf
77,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 7350 - only when skill does critical - otherwise 74 - require duals; leaves +5 speed and +15% AS for 5s;",82,11kk,1kk,[precise_shot],Elf
78,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 7800 - only when skill does critical - otherwise 78 - require duals; leaves +5 speed and +15% AS for 5s;",84,16kk,1kk,[precise_shot],Elf
79,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 8250 - only when skill does critical - otherwise 83 - require duals; leaves +5 speed and +15% AS for 5s;",86,80kk,1kk,[precise_shot],Elf
80,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 8700 - only when skill does critical - otherwise 87 - require duals; leaves +5 speed and +15% AS for 5s;",88,0,5kk,[precise_shot],Elf
81,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 9150 - only when skill does critical - otherwise 92 - require duals; leaves +5 speed and +15% AS for 5s;",90,0,7.5kk,[precise_shot],Elf
82,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 9600 - only when skill does critical - otherwise 96 - require duals; leaves +5 speed and +15% AS for 5s;",92,0,10kk,[precise_shot],Elf
83,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 10050 - only when skill does critical - otherwise 101 - require duals; leaves +5 speed and +15% AS for 5s;",95,0,15kk,[precise_shot],Elf
84,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 10500 - only when skill does critical - otherwise 105 - require duals; leaves +5 speed and +15% AS for 5s;",98,0,30kk,[precise_shot],Elf
85,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 11000 - only when skill does critical - otherwise 110 - require duals; leaves +5 speed and +15% AS for 5s;",100,0,50kk,[precise_shot],Elf
86,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 11800 - only when skill does critical - otherwise 118 - require duals; leaves +5 speed and +15% AS for 5s;",102,0,75kk,[precise_shot],Elf
87,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 12600 - only when skill does critical - otherwise 126 - require duals; leaves +5 speed and +15% AS for 5s;",104,0,100kk,[precise_shot],Elf
88,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 13400 - only when skill does critical - otherwise 134 - require duals; leaves +5 speed and +15% AS for 5s;",106,0,100kk,[precise_shot],Elf
89,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 14200 - only when skill does critical - otherwise 142 - require duals; leaves +5 speed and +15% AS for 5s;",108,0,100kk,[precise_shot],Elf
90,Swift Stab,swift_stab,physical active,duals,,40,0,enemy/single,0.5,3,0,"power 15000 - only when skill does critical - otherwise 150 - require duals; leaves +5 speed and +15% AS for 5s;",110,0,100kk,[precise_shot],Elf
,,,,,,,,,,,,,,,,,,----------------------------Heavy Stab (DERIVED)----------------------------
76,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 5175 - only when skill does critical - otherwise 52 - require duals; strikes 2 times;",80,6.5kk,1kk,[precise_shot],Human
77,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 5500 - only when skill does critical - otherwise 55 - require duals; strikes 2 times;",82,11kk,1kk,[precise_shot],Human
78,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 5850 - only when skill does critical - otherwise 59 - require duals; strikes 2 times;",84,16kk,1kk,[precise_shot],Human
79,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 6175 - only when skill does critical - otherwise 62 - require duals; strikes 2 times;",86,80kk,1kk,[precise_shot],Human
80,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 6525 - only when skill does critical - otherwise 65 - require duals; strikes 2 times;",88,0,5kk,[precise_shot],Human
81,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 6850 - only when skill does critical - otherwise 69 - require duals; strikes 2 times;",90,0,7.5kk,[precise_shot],Human
82,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 7200 - only when skill does critical - otherwise 72 - require duals; strikes 2 times;",92,0,10kk,[precise_shot],Human
83,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 7550 - only when skill does critical - otherwise 76 - require duals; strikes 2 times;",95,0,15kk,[precise_shot],Human
84,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 7875 - only when skill does critical - otherwise 79 - require duals; strikes 2 times;",98,0,30kk,[precise_shot],Human
85,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 8250 - only when skill does critical - otherwise 83 - require duals; strikes 2 times;",100,0,50kk,[precise_shot],Human
86,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 8850 - only when skill does critical - otherwise 89 - require duals; strikes 2 times;",102,0,75kk,[precise_shot],Human
87,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 9450 - only when skill does critical - otherwise 95 - require duals; strikes 2 times;",104,0,100kk,[precise_shot],Human
88,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 10050 - only when skill does critical - otherwise 101 - require duals; strikes 2 times;",106,0,100kk,[precise_shot],Human
89,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 10650 - only when skill does critical - otherwise 107 - require duals; strikes 2 times;",108,0,100kk,[precise_shot],Human
90,Heavy Stab,heavy_stab,physical active,duals,,40,0,enemy/single,3,3,0,"power 11250 - only when skill does critical - otherwise 113 - require duals; strikes 2 times;",110,0,100kk,[precise_shot],Human
,,,,,,,,,,,,,,,,,,----------------------------Venom Stab (DERIVED)----------------------------
76,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 3450 - only when skill does critical - otherwise 35 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",80,6.5kk,1kk,[precise_shot],Demon
77,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 3675 - only when skill does critical - otherwise 37 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",82,11kk,1kk,[precise_shot],Demon
78,Venom Stab,venom_stab,physical active,duals,,40,0,enemy/single,1,3,0,"power 3900 - only when skill does critical - otherwise 39 - require duals; adds 3 tier-10 venom stacks, max 10; atk -15%; def -15%;",84,16kk,1kk,[precise_shot],Demon
